"declarantcode","startyr","endyr","declarantname","declarantlettercode","declarantisocode","euwithdrawal"
"999","1976","2500",".EU28","EU","EU",0
"038","1995","2500","Austria","AT","AUT",0
"017","1999","2500","Belgium","BL","BEL",0
"068","2007","2500","Bulgaria","BG","BGR",0
"092","2013","2500","Croatia","HR","HRV",0
"600","2004","2500","Cyprus","CY","CYP",0
"061","2004","2500","Czech Rep.","CZ","CZE",0
"008","1976","2500","Denmark","DK","DNK",0
"053","2004","2500","Estonia","EE","EST",0
"032","1995","2500","Finland","FI","FIN",0
"001","1976","2500","France","FR","FRA",0
"004","1976","2500","Germany","DE","DEU",0
"009","1981","2500","Greece","GR","GRC",0
"064","2004","2500","Hungary","HU","HUN",0
"007","1976","2500","Ireland","IE","IRL",0
"005","1976","2500","Italy","IT","ITA",0
"054","2004","2500","Latvia","LV","LVA",0
"055","2004","2500","Lithuania","LT","LTU",0
"018","1999","2500","Luxembrg.","LX","LUX",0
"046","2004","2500","Malta","MT","MLT",0
"003","1976","2500","Netherlands","NL","NLD",0
"060","2004","2500","Poland","PL","POL",0
"010","1984","2500","Portugal","PT","PRT",0
"066","2007","2500","Romania","RO","ROU",0
"063","2004","2500","Slovakia","SK","SVK",0
"091","2004","2500","Slovenia","SI","SVN",0
"011","1984","2500","Spain","ES","ESP",0
"030","1995","2500","Sweden","SE","SWE",0
"006","1976","2500","UK","GB","GBR",1
"A006","1976","2500","Dummy","D","D",1