"order","productgroup","productsummary"
"A1",".Wood products","All wood products in HS 44"
"AA","Biomass","All woody biomass"
"AB","Biomass","Pellets"
"AC","Biomass","Chips"
"AD","Biomass","Fuelwood"
"AE","Biomass","Wood waste"
"BA","Logs","All logs"
"BB","Logs","Tropical hardwood"
"BC","Logs","Other hardwood"
"BD","Logs","Softwood"
"CA","Sawnwood","All sawnwood"
"CB","Sawnwood","Tropical hardwood"
"CC","Sawnwood","Other hardwood"
"CD","Sawnwood","Softwood"
"DA","Mouldings","All mouldings"
"DB","Mouldings","Hardwood"
"DC","Mouldings","Softwood"
"EA","Veneer","All veneer"
"EB","Veneer","Tropical hardwood"
"EC","Veneer","Other hardwood"
"ED","Veneer","Softwood"
"FA","Plywood","All plywood"
"FB","Plywood","Tropical hardwood"
"FC","Plywood","Other hardwood"
"FD","Plywood","Softwood"
"FE","Plywood","Blockboard and similar"
"GA","Composite panels","All composite panels"
"GB","Composite panels","Fibreboard"
"GC","Composite panels","Particle Board"
"HA","Joinery","All joinery"
"HB","Joinery","Doors - tropical hardwood"
"HC","Joinery","Doors - other hardwood"
"HD","Joinery","Doors - softwood"
"HE","Joinery","Windows - tropical hardwood"
"HF","Joinery","Windows - other hardwood"
"HG","Joinery","Windows - softwood"
"HH","Joinery","Flooring"
"HI","Joinery","Glulam"
"HJ","Joinery","Other joinery"
"JA","Other wood products","All other wood products in HS 44"
"JB","Other wood products","Boxes and Drums"
"JC","Other wood products","Casks and Barrels"
"JD","Other wood products","Charcoal"
"JE","Other wood products","Densified wood"
"JF","Other wood products","Kitchenware"
"JG","Other wood products","Marquetry"
"JH","Other wood products","Pallets"
"JI","Other wood products","Picture frames"
"JJ","Other wood products","Poles"
"JK","Other wood products","Prefab buildings"
"JL","Other wood products","Sleepers"
"JM","Other wood products","Tools"
"JN","Other wood products","Wood wool"
"JO","Other wood products","Not elsewhere stated"
"KA","Wood furniture","All wood furniture in HS 94"
"KB","Wood furniture","Seats not upholstered"
"KC","Wood furniture","Seats upholstered"
"KD","Wood furniture","Seat components"
"KE","Wood furniture","Bedroom"
"KF","Wood furniture","Dining/living room"
"KG","Wood furniture","Kitchen"
"KH","Wood furniture","Office"
"KI","Wood furniture","Shop"
"KJ","Wood furniture","Other wood components in HS 94"
"KK","Wood furniture","Not elsewhere stated"
"MA","Pulp","All wood pulp in HS 47"
"MB","Pulp","Hardwood pulp"
"MC","Pulp","Softwood pulp"
"MD","Pulp","Mixed pulp"
"ME","Pulp","Other pulp in HS 47"
"PA","Paper","All paper products in HS 48"
"PB","Paper","Newsprint"
"PC","Paper","Uncoated kraft paper"
"PD","Paper","Uncoated for writing/printing"
"PE","Paper","Other uncoated unworked in rolls/sheets"
"PF","Paper","Kaolin coated"
"PG","Paper","Other coated/decorated in rolls/sheets"
"PH","Paper","Toilet & sanitary"
"PI","Paper","Account/exercise books etc"
"PJ","Paper","Cartons & containers"
"PK","Paper","Cups & dishes"
"PL","Paper","Labels & envelopes etc"
"PM","Paper","Other paper in HS 48"
"SA","Printed papers","All printed papers in HS 49"
"TA","Cork products","All cork products in HS 49"
"UA","Bamboo products","All bamboo products in HS 44 & 94"